,RMSE_MEAN,RMSE_STD,MODEL_CLASS
BiasRegressorC2 with inner model LinearRegression and with post model Lasso,-54.972014914225404,6.1538119513817655,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D27C77C8>
BiasRegressorC2 with inner model LinearRegression and with post model Ridge,-55.460760786873024,5.0033359759285565,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D27D1788>
BiasRegressorC2 with inner model LinearRegression and with post model ElasticNet,-55.7017938361048,6.445755182662,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D27C7CC8>
BiasRegressorC2 with inner model LinearRegression and with post model LinearRegression,-55.719024856516015,5.781527184849525,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D27DDD88>
BiasRegressorC2 with inner model Ridge and with post model LinearRegression,-55.82637076404133,5.1239268212366955,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D27C8708>
BiasRegressorC2 with inner model Ridge and with post model ElasticNet,-55.86574729241787,6.028858409966895,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28041C8>
BiasRegressorC2 with inner model Ridge and with post model Lasso,-55.94248246205742,5.053305662598489,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D27C8E08>
BiasRegressorC2 with inner model Ridge and with post model Ridge,-56.004982027324196,5.75564361062276,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D27FFE88>
BiasRegressorC2 with inner model Lasso and with post model Ridge,-56.90665316191032,3.4367996412672013,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D27E8308>
BiasRegressorC2 with inner model Lasso and with post model ElasticNet,-56.96435943898856,5.458578840178844,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D27F50C8>
BiasRegressorC2 with inner model ElasticNet and with post model LinearRegression,-57.27433716926286,4.607320453060331,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D280E708>
BiasRegressorC2 with inner model ElasticNet and with post model Ridge,-57.34240049941403,4.991777090044141,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28143C8>
BiasRegressorC2 with inner model Lasso and with post model Lasso,-57.387960742046815,4.3862620124971725,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D27F4C08>
BiasRegressorC2 with inner model ElasticNet and with post model Lasso,-57.40774635211339,3.7747888323683245,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2807388>
BiasRegressorC2 with inner model Lasso and with post model LinearRegression,-57.69111691422579,2.487269891948559,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D27F4A48>
BiasRegressorC2 with inner model RandomForestRegressorNone10 and with post model Ridge,-58.58399891197716,6.538606291745808,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2816408>
BiasRegressorC2 with inner model RandomForestRegressorNone10 and with post model LinearRegression,-58.8236157124936,5.07151044733457,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28201C8>
BiasRegressorC2 with inner model RandomForestRegressorNone5 and with post model ElasticNet,-60.69492616384239,6.0862586701367425,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2818EC8>
BiasRegressorC2 with inner model RandomForestRegressorNone10 and with post model ElasticNet,-60.829752501708626,6.933697062904122,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2818A88>
BiasRegressorC2 with inner model RandomForestRegressorNone10 and with post model Lasso,-60.92432228439634,5.083067385910279,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D27F2108>
BiasRegressorC2 with inner model ElasticNet and with post model DecisionTreeRegressor5,-61.18260678919002,3.157532400541671,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2808148>
BiasRegressorC2 with inner model RandomForestRegressorNone5 and with post model Ridge,-61.32705110021946,4.268495461599545,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2812508>
BiasRegressorC2 with inner model RandomForestRegressorNone5 and with post model LinearRegression,-61.42166470339515,3.911285010473337,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28181C8>
BiasRegressorC2 with inner model Ridge and with post model DecisionTreeRegressor5,-62.00420594399458,3.891193710148368,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D27FD408>
BiasRegressorC2 with inner model RandomForestRegressorNone5 and with post model Lasso,-62.53290061448208,6.04491663507703,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2813308>
BiasRegressorC2 with inner model LinearRegression and with post model DecisionTreeRegressor5,-63.79593377898605,6.767881829636408,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D27D77C8>
BiasRegressorC2 with inner model DecisionTreeRegressor5 and with post model RandomForestRegressorNone10,-64.00808437595433,3.9470762342716363,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2816748>
BiasRegressorC2 with inner model DecisionTreeRegressor5 and with post model DecisionTreeRegressor5,-64.01288244463913,5.721681800058352,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D280B2C8>
BiasRegressorC2 with inner model DecisionTreeRegressor5 and with post model RandomForestRegressorNone5,-64.22857307062091,6.602267191799691,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D27DCBC8>
BiasRegressorC2 with inner model DecisionTreeRegressor5 and with post model Ridge,-64.2398058831885,5.422242515559547,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D281DB08>
BiasRegressorC2 with inner model DecisionTreeRegressor5 and with post model DecisionTreeRegressor10,-64.32311005204802,7.267357135065144,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2816788>
BiasRegressorC2 with inner model DecisionTreeRegressor5 and with post model LinearRegression,-64.48934027894502,5.4300658043980095,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28016C8>
BiasRegressorC2 with inner model Ridge and with post model RandomForestRegressorNone10,-64.54346253606488,6.503974652459232,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2808B88>
BiasRegressorC2 with inner model DecisionTreeRegressor5 and with post model ElasticNet,-65.31506026534132,4.946332780956482,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2817808>
BiasRegressorC2 with inner model DecisionTreeRegressor10 and with post model LinearRegression,-66.93630096513547,4.743379928880414,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2818D48>
BiasRegressorC2 with inner model DecisionTreeRegressor5 and with post model Lasso,-67.03694449739649,6.142300580263408,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2813C48>
BiasRegressorC2 with inner model DecisionTreeRegressor10 and with post model DecisionTreeRegressor5,-67.12541450328789,5.816698341565432,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28202C8>
BiasRegressorC2 with inner model DecisionTreeRegressor10 and with post model Ridge,-67.40685244098586,6.850246288043608,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D27F2A08>
BiasRegressorC2 with inner model DecisionTreeRegressor10 and with post model Lasso,-68.09624331500854,6.779988491365393,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D27DCC88>
BiasRegressorC2 with inner model RandomForestRegressorNone10 and with post model DecisionTreeRegressor5,-68.30862578922381,9.792350731095171,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28139C8>
BiasRegressorC2 with inner model ElasticNet and with post model ElasticNet,-68.34978004296741,5.083230175242984,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2811748>
BiasRegressorC2 with inner model Lasso and with post model RandomForestRegressorNone10,-68.35473316765356,5.285127138621284,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D27F5388>
BiasRegressorC2 with inner model ElasticNet and with post model RandomForestRegressorNone5,-68.69940361531374,6.640263280591258,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2811888>
BiasRegressorC2 with inner model Lasso and with post model DecisionTreeRegressor5,-68.747762405016,5.257193795169276,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D27F6708>
BiasRegressorC2 with inner model DecisionTreeRegressor10 and with post model ElasticNet,-68.77752163955792,4.02972827951646,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28162C8>
BiasRegressorC2 with inner model RandomForestRegressorNone5 and with post model DecisionTreeRegressor5,-68.8809380419573,7.064549177216296,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28164C8>
BiasRegressorC2 with inner model LinearRegression and with post model RandomForestRegressorNone5,-69.22755223541013,8.013653335176732,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D27EA7C8>
BiasRegressorC2 with inner model LinearRegression and with post model RandomForestRegressorNone10,-70.24311967061041,7.38923958655947,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D27EACC8>
BiasRegressorC2 with inner model RandomForestRegressorNone10 and with post model RandomForestRegressorNone5,-70.98206831449339,4.730778920723538,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2810B48>
BiasRegressorC2 with inner model ElasticNet and with post model RandomForestRegressorNone10,-71.07686704208187,4.031851188656319,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2817448>
BiasRegressorC2 with inner model DecisionTreeRegressor10 and with post model RandomForestRegressorNone10,-71.22011962814668,9.093949772894415,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2824588>
BiasRegressorC2 with inner model Lasso and with post model RandomForestRegressorNone5,-72.6534821719952,7.028311944459156,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D27F5E48>
BiasRegressorC2 with inner model RandomForestRegressorNone10 and with post model RandomForestRegressorNone10,-73.01601085940746,7.027083347194232,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D282EF48>
BiasRegressorC2 with inner model Ridge and with post model RandomForestRegressorNone5,-73.3939032116482,8.155154387035854,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2809248>
BiasRegressorC2 with inner model DecisionTreeRegressor10 and with post model RandomForestRegressorNone5,-73.41679107492394,7.2650989475167185,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D27F3E08>
BiasRegressorC2 with inner model RandomForestRegressorNone5 and with post model RandomForestRegressorNone5,-74.60436410333116,7.479100719075873,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D27F3288>
BiasRegressorC2 with inner model DecisionTreeRegressor10 and with post model DecisionTreeRegressor10,-75.36995766419322,8.85403400796545,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2818E88>
BiasRegressorC2 with inner model RandomForestRegressorNone5 and with post model RandomForestRegressorNone10,-75.62315495229574,10.0211310608746,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D281FBC8>
