,RMSE_MEAN,RMSE_STD,MODEL_CLASS
BiasRegressorC2 with inner model LinearRegression and with post model LinearRegression,-1.030286937783527,0.22780484178759772,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D27FF2C8>
BiasRegressorC2 with inner model RandomForestRegressorNone10 and with post model Ridge,-1.0365685851293338,0.180080349702098,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28C6B88>
BiasRegressorC2 with inner model LinearRegression and with post model Ridge,-1.0469299266562746,0.19657063146179798,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D288DF08>
BiasRegressorC2 with inner model Ridge and with post model Ridge,-1.0603237729499737,0.20621950693074373,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D27F2BC8>
BiasRegressorC2 with inner model ElasticNet and with post model Lasso,-1.0631102232293825,0.23828653536342442,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D289CA88>
BiasRegressorC2 with inner model ElasticNet and with post model ElasticNet,-1.0642760864953036,0.22608352276231372,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2883788>
BiasRegressorC2 with inner model Lasso and with post model ElasticNet,-1.0650547687391765,0.2505439333353877,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28C4AC8>
BiasRegressorC2 with inner model Lasso and with post model Ridge,-1.0650600253101934,0.1969981651345773,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28C4548>
BiasRegressorC2 with inner model ElasticNet and with post model Ridge,-1.0651373019838044,0.17927256765841793,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2892588>
BiasRegressorC2 with inner model DecisionTreeRegressor5 and with post model Ridge,-1.0655007655752484,0.15238483838809908,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28C67C8>
BiasRegressorC2 with inner model RandomForestRegressorNone10 and with post model Lasso,-1.0679397690537669,0.24999541714877552,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28C36C8>
BiasRegressorC2 with inner model RandomForestRegressorNone5 and with post model Lasso,-1.0683953055843884,0.23655775378624663,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2892A08>
BiasRegressorC2 with inner model RandomForestRegressorNone5 and with post model Ridge,-1.0685923934861485,0.17892652360583594,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28973C8>
BiasRegressorC2 with inner model DecisionTreeRegressor10 and with post model Lasso,-1.0686762754592414,0.2202422357894628,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28B2D08>
BiasRegressorC2 with inner model Ridge and with post model LinearRegression,-1.0698706330740424,0.20068369861875843,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D287E188>
BiasRegressorC2 with inner model Lasso and with post model Lasso,-1.072319553156149,0.21650966931228358,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D287E2C8>
BiasRegressorC2 with inner model RandomForestRegressorNone5 and with post model ElasticNet,-1.0731071960627896,0.16506682583862342,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2810608>
BiasRegressorC2 with inner model LinearRegression and with post model Lasso,-1.0742840359480605,0.18696147416775474,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D288D988>
BiasRegressorC2 with inner model DecisionTreeRegressor5 and with post model Lasso,-1.0747419082290155,0.10786990795785538,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28C6708>
BiasRegressorC2 with inner model RandomForestRegressorNone10 and with post model ElasticNet,-1.0752019963803667,0.1640308274196067,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28B43C8>
BiasRegressorC2 with inner model Lasso and with post model LinearRegression,-1.0756502442343616,0.10563192915670415,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2889B88>
BiasRegressorC2 with inner model DecisionTreeRegressor5 and with post model ElasticNet,-1.0759548288492484,0.18132584262126322,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28C6148>
BiasRegressorC2 with inner model DecisionTreeRegressor10 and with post model ElasticNet,-1.0782716719209884,0.1700745954224869,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28C6908>
