,RMSE_MEAN,RMSE_STD,MODEL_CLASS
BiasRegressorC2 with inner model RandomForestRegressorNone5 and with post model Ridge,-13.2197800353383,7.413426248385007,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D289CD08>
BiasRegressorC2 with inner model DecisionTreeRegressor5 and with post model ElasticNet,-13.493535565591733,6.68656516808055,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D282E688>
BiasRegressorC2 with inner model RandomForestRegressorNone10 and with post model Lasso,-13.574575986584296,9.30117008574652,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2892208>
BiasRegressorC2 with inner model DecisionTreeRegressor10 and with post model RandomForestRegressorNone5,-13.829944389020866,8.585457584408514,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28925C8>
BiasRegressorC2 with inner model DecisionTreeRegressor5 and with post model DecisionTreeRegressor10,-13.89459036303234,7.536701394030958,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D281F848>
BiasRegressorC2 with inner model ElasticNet and with post model RandomForestRegressorNone5,-13.941622267109622,9.642778052057054,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2801788>
BiasRegressorC2 with inner model DecisionTreeRegressor10 and with post model Ridge,-14.078006072434084,5.923442247096838,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2883708>
BiasRegressorC2 with inner model Ridge and with post model RandomForestRegressorNone5,-14.089071403590902,9.511470285109295,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2883BC8>
BiasRegressorC2 with inner model RandomForestRegressorNone10 and with post model RandomForestRegressorNone5,-14.098139691698222,7.8655727706976934,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2897688>
BiasRegressorC2 with inner model LinearRegression and with post model Lasso,-14.428514658082268,10.10556939993628,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216CF68ED88>
BiasRegressorC2 with inner model DecisionTreeRegressor10 and with post model ElasticNet,-14.530862976784098,6.304062643258688,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2820988>
BiasRegressorC2 with inner model LinearRegression and with post model ElasticNet,-14.57796168285754,9.378917581205375,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2824D48>
BiasRegressorC2 with inner model DecisionTreeRegressor5 and with post model RandomForestRegressorNone5,-14.681913758163432,7.693634751969258,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2892288>
BiasRegressorC2 with inner model RandomForestRegressorNone10 and with post model RandomForestRegressorNone10,-14.687923225915316,6.09788287595594,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28965C8>
BiasRegressorC2 with inner model RandomForestRegressorNone5 and with post model ElasticNet,-15.095320792933972,7.86660748174543,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D289C088>
BiasRegressorC2 with inner model Ridge and with post model Lasso,-15.276523840993807,9.59776551351969,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2818188>
BiasRegressorC2 with inner model RandomForestRegressorNone5 and with post model RandomForestRegressorNone5,-15.354112638497744,11.305227934543076,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28203C8>
BiasRegressorC2 with inner model Lasso and with post model ElasticNet,-15.553280684306259,10.710292091561676,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2883188>
BiasRegressorC2 with inner model ElasticNet and with post model Ridge,-15.699740892797127,10.184882801784196,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D281F748>
BiasRegressorC2 with inner model Ridge and with post model Ridge,-15.812912601593066,9.333794591782977,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2820848>
BiasRegressorC2 with inner model ElasticNet and with post model RandomForestRegressorNone10,-15.82427009200855,9.397968364944472,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2820F88>
BiasRegressorC2 with inner model DecisionTreeRegressor5 and with post model RandomForestRegressorNone10,-15.879513733920911,7.633073561810593,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D281FB88>
BiasRegressorC2 with inner model RandomForestRegressorNone10 and with post model Ridge,-15.996186203833734,10.941310172751056,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D289CF88>
BiasRegressorC2 with inner model RandomForestRegressorNone5 and with post model Lasso,-16.133644778493,6.317636926372624,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2892FC8>
BiasRegressorC2 with inner model Ridge and with post model RandomForestRegressorNone10,-16.475012614116018,7.034199269619691,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2889E48>
BiasRegressorC2 with inner model RandomForestRegressorNone5 and with post model RandomForestRegressorNone10,-16.711613103550338,8.077237766912093,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2896E88>
BiasRegressorC2 with inner model Ridge and with post model ElasticNet,-16.77727852087452,11.896790938326967,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D287E948>
BiasRegressorC2 with inner model RandomForestRegressorNone10 and with post model ElasticNet,-16.827028880086385,10.781085668448059,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2892848>
BiasRegressorC2 with inner model ElasticNet and with post model ElasticNet,-17.057291568001496,8.43307292958664,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D27F2688>
BiasRegressorC2 with inner model RandomForestRegressorNone5 and with post model DecisionTreeRegressor10,-17.218970433405175,9.8008702273583,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D289CD88>
BiasRegressorC2 with inner model ElasticNet and with post model Lasso,-17.325596241988276,9.102314784402452,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D281F7C8>
BiasRegressorC2 with inner model LinearRegression and with post model Ridge,-17.690533737693542,13.22490892870181,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D27F52C8>
BiasRegressorC2 with inner model LinearRegression and with post model RandomForestRegressorNone10,-17.88994904370219,8.391040254168267,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2818308>
BiasRegressorC2 with inner model DecisionTreeRegressor10 and with post model DecisionTreeRegressor10,-17.937244892497308,8.119719669941263,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D27F2D08>
BiasRegressorC2 with inner model Lasso and with post model Lasso,-17.98030546054636,14.311013072166745,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D282EC88>
BiasRegressorC2 with inner model LinearRegression and with post model DecisionTreeRegressor10,-18.007027638117417,7.233967719958997,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D282EBC8>
BiasRegressorC2 with inner model Lasso and with post model DecisionTreeRegressor10,-18.01257758641625,7.986262081015633,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D287EA48>
BiasRegressorC2 with inner model LinearRegression and with post model RandomForestRegressorNone5,-18.220591140298826,8.249852028858696,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D282E1C8>
BiasRegressorC2 with inner model Lasso and with post model Ridge,-18.809334624131992,13.313737804749545,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D281F188>
BiasRegressorC2 with inner model DecisionTreeRegressor10 and with post model DecisionTreeRegressor5,-18.835034894859927,8.503960262080158,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D282E508>
BiasRegressorC2 with inner model Lasso and with post model RandomForestRegressorNone5,-19.211337264787907,11.49547101392129,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D287E488>
BiasRegressorC2 with inner model LinearRegression and with post model DecisionTreeRegressor5,-19.24219080880771,7.7239190965965845,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2824548>
BiasRegressorC2 with inner model Lasso and with post model RandomForestRegressorNone10,-19.269377387611634,10.662696426973872,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D287E308>
BiasRegressorC2 with inner model Lasso and with post model LinearRegression,-19.27793336579927,10.496331545206438,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28200C8>
BiasRegressorC2 with inner model RandomForestRegressorNone5 and with post model DecisionTreeRegressor5,-19.422523583098787,7.540190087316131,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28838C8>
BiasRegressorC2 with inner model DecisionTreeRegressor5 and with post model Lasso,-19.52690636150596,12.465878725662796,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D288D248>
BiasRegressorC2 with inner model Lasso and with post model DecisionTreeRegressor5,-19.65257064394428,10.343949942749758,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D287EC08>
BiasRegressorC2 with inner model DecisionTreeRegressor10 and with post model LinearRegression,-19.740200238440217,10.280609099172192,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2889DC8>
BiasRegressorC2 with inner model ElasticNet and with post model LinearRegression,-19.89941268808959,12.052521100317554,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2820888>
BiasRegressorC2 with inner model DecisionTreeRegressor10 and with post model RandomForestRegressorNone10,-20.17688940457709,7.858553403744086,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2896B88>
BiasRegressorC2 with inner model RandomForestRegressorNone10 and with post model LinearRegression,-20.405214462731546,11.927240748784218,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D289CE48>
BiasRegressorC2 with inner model LinearRegression and with post model LinearRegression,-20.635675760343325,9.627629751562706,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D280BBC8>
BiasRegressorC2 with inner model RandomForestRegressorNone10 and with post model DecisionTreeRegressor5,-20.85497511743741,11.854612865226768,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2897148>
BiasRegressorC2 with inner model DecisionTreeRegressor5 and with post model DecisionTreeRegressor5,-21.073487368252362,11.359386131664701,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2818948>
BiasRegressorC2 with inner model DecisionTreeRegressor5 and with post model Ridge,-21.09654542316809,15.180744961161201,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2883908>
BiasRegressorC2 with inner model Ridge and with post model DecisionTreeRegressor5,-21.585374549045476,8.875552096735406,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D287E0C8>
BiasRegressorC2 with inner model Ridge and with post model LinearRegression,-21.87428921275187,15.876431192209628,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D27F24C8>
BiasRegressorC2 with inner model Ridge and with post model DecisionTreeRegressor10,-21.87995123233888,8.110758333049926,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28837C8>
BiasRegressorC2 with inner model RandomForestRegressorNone10 and with post model DecisionTreeRegressor10,-23.564109262244017,12.671403538676714,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2820608>
BiasRegressorC2 with inner model ElasticNet and with post model DecisionTreeRegressor5,-23.894597241245418,7.4098958165415665,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D27F21C8>
BiasRegressorC2 with inner model ElasticNet and with post model DecisionTreeRegressor10,-23.939355629872203,11.692187649302676,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2824208>
BiasRegressorC2 with inner model DecisionTreeRegressor10 and with post model Lasso,-27.307992975200825,29.142654266340276,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28896C8>
BiasRegressorC2 with inner model RandomForestRegressorNone5 and with post model LinearRegression,-30.476411220299894,32.61789976397841,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2896708>
BiasRegressorC2 with inner model DecisionTreeRegressor5 and with post model LinearRegression,-63.126871346797444,137.99426664081045,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D288DEC8>
