,RMSE_MEAN,RMSE_STD,MODEL_CLASS
BiasRegressorC2 with inner model DecisionTreeRegressor5 and with post model RandomForestRegressorNone10,-25.96724384284131,6.583115497624259,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D289C748>
BiasRegressorC2 with inner model DecisionTreeRegressor5 and with post model ElasticNet,-26.039223390758615,5.013958685254464,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28B2FC8>
BiasRegressorC2 with inner model DecisionTreeRegressor5 and with post model Ridge,-26.366703607854816,5.733914215260251,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D289C3C8>
BiasRegressorC2 with inner model DecisionTreeRegressor5 and with post model LinearRegression,-26.96170451810616,6.37059915550989,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2897F48>
BiasRegressorC2 with inner model DecisionTreeRegressor5 and with post model Lasso,-27.629042945617407,7.453807652877853,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D27EA7C8>
BiasRegressorC2 with inner model RandomForestRegressorNone5 and with post model ElasticNet,-28.106949128358593,9.369600519056785,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D282E3C8>
BiasRegressorC2 with inner model RandomForestRegressorNone10 and with post model LinearRegression,-28.50322365981011,5.469689804955621,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28B2908>
BiasRegressorC2 with inner model RandomForestRegressorNone5 and with post model Lasso,-28.613695723170803,8.937971977152296,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D27F2508>
BiasRegressorC2 with inner model RandomForestRegressorNone5 and with post model RandomForestRegressorNone10,-28.722218882119584,7.540342573473301,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28BCB88>
BiasRegressorC2 with inner model RandomForestRegressorNone10 and with post model Lasso,-28.73675457250146,4.516966857049082,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2817C08>
BiasRegressorC2 with inner model RandomForestRegressorNone5 and with post model Ridge,-28.95486676321311,5.501788071617392,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28B2508>
BiasRegressorC2 with inner model RandomForestRegressorNone5 and with post model LinearRegression,-29.018486401635823,4.774465227455839,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2897548>
BiasRegressorC2 with inner model RandomForestRegressorNone10 and with post model ElasticNet,-29.062772701060503,7.858376450109026,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28BA888>
BiasRegressorC2 with inner model RandomForestRegressorNone10 and with post model DecisionTreeRegressor5,-29.26266403966048,5.247463385004296,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D289C608>
BiasRegressorC2 with inner model RandomForestRegressorNone10 and with post model Ridge,-29.42851013282739,7.425893410883015,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D282E208>
BiasRegressorC2 with inner model DecisionTreeRegressor10 and with post model RandomForestRegressorNone10,-29.53226418114611,7.476259755704667,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2889608>
BiasRegressorC2 with inner model DecisionTreeRegressor10 and with post model ElasticNet,-29.696089025027398,6.683281786639692,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D288DF48>
BiasRegressorC2 with inner model DecisionTreeRegressor10 and with post model LinearRegression,-30.031275086506184,7.412218657474178,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D27DCD88>
BiasRegressorC2 with inner model RandomForestRegressorNone10 and with post model RandomForestRegressorNone10,-30.51736227500059,8.243961463506281,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28B2E08>
BiasRegressorC2 with inner model DecisionTreeRegressor10 and with post model Lasso,-30.702310846943796,9.921952403150623,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28B4108>
BiasRegressorC2 with inner model DecisionTreeRegressor10 and with post model Ridge,-31.156871628376734,6.0614582758469755,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2824288>
BiasRegressorC2 with inner model DecisionTreeRegressor10 and with post model RandomForestRegressorNone5,-31.574486810845038,10.83519510630477,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2892D48>
BiasRegressorC2 with inner model RandomForestRegressorNone5 and with post model DecisionTreeRegressor5,-31.72403647178594,6.281888635292277,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D289C5C8>
BiasRegressorC2 with inner model RandomForestRegressorNone5 and with post model RandomForestRegressorNone5,-31.758288529060007,7.255401350621626,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D282E948>
BiasRegressorC2 with inner model RandomForestRegressorNone10 and with post model RandomForestRegressorNone5,-31.988687452726104,7.9861314862797865,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2808688>
BiasRegressorC2 with inner model RandomForestRegressorNone10 and with post model DecisionTreeRegressor10,-32.10533117515869,7.840853476310752,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2840588>
BiasRegressorC2 with inner model DecisionTreeRegressor5 and with post model RandomForestRegressorNone5,-32.86775405432494,9.000278040633331,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28ABE48>
BiasRegressorC2 with inner model RandomForestRegressorNone5 and with post model DecisionTreeRegressor10,-34.54007686638728,10.580421926384028,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28BCD48>
BiasRegressorC2 with inner model DecisionTreeRegressor10 and with post model DecisionTreeRegressor10,-34.72391138855181,12.084925450436906,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2820148>
BiasRegressorC2 with inner model DecisionTreeRegressor5 and with post model DecisionTreeRegressor5,-35.279388901078605,11.093525829606813,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28204C8>
BiasRegressorC2 with inner model DecisionTreeRegressor10 and with post model DecisionTreeRegressor5,-36.13924438225912,8.560923308554091,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2896388>
