,Raw Model RMSE,C1 RMSE,C2 RMSE,RandomWrapper RMSE
Lasso,0.9876209434349917,1.1541011586559826,1.0962834493789513,0.9756094176251192
ElasticNet,0.8843169582940258,1.1539561537331928,1.102736464289402,0.8764306409649242
DecisionTreeRegressor3,0.800136133489851,0.8364184927723791,0.9107235922978394,0.7947756444386074
LinearRegression,0.7505643214052967,1.1634049808539768,0.9157763886427833,0.726621304392785
DecisionTreeRegressor10,0.7505035204238636,0.7622757683273899,0.8365204567259539,0.6307117539212757
Ridge,0.7481638398973371,1.2309900301499908,0.9522828759062995,0.726045384421633
DecisionTreeRegressor5,0.7160548563840022,0.7712604056661763,0.8952756395579022,0.7194354508604286
RandomForestRegressorNone3,0.6485721096197649,0.8492805098691679,0.7148266346089027,0.5879945462675185
RandomForestRegressorNone5,0.6210855055272779,0.9093599221804652,0.7052966691970812,0.5521546023390059
RandomForestRegressorNone10,0.5899917225013405,0.9588468881726173,1.0013380003883285,0.5281277886888723
