,Raw Model RMSE,C1 RMSE,C2 RMSE,RandomWrapper RMSE
DecisionTreeRegressor10,77.91679618496411,62.911069027094115,79.79727106153592,84.20888105947014
ElasticNet,76.4625897149862,69.11419367894086,76.5221093372492,76.64844577146921
DecisionTreeRegressor5,65.5514569492263,65.58275382490176,65.52364535195977,67.24519765038278
RandomForestRegressorNone3,64.1817371445214,76.26338604383321,67.41763955805854,64.74372637034142
RandomForestRegressorNone5,62.21769608104844,80.06305334728306,60.83818903083066,62.14529550178096
Lasso,62.038988122610284,60.76766084680622,62.06148910272087,62.09725927906313
DecisionTreeRegressor3,60.25797867341181,65.24378676496107,61.244895794885466,65.53651615850089
RandomForestRegressorNone10,60.231417288643755,74.71929267676575,61.195832182002015,60.56290125786957
Ridge,59.67893068849757,57.74609224388446,57.816451201540715,58.07425876945901
LinearRegression,54.94246004674402,59.95583647189834,54.83450876646593,54.75970703600676
