,Raw Model RMSE,C1 RMSE,C2 RMSE,RandomWrapper RMSE
DecisionTreeRegressor10,19.68609048202169,17.40911861130268,18.441451275330472,17.31784526059162
DecisionTreeRegressor5,17.970911064424087,13.065519004368673,17.445209255486056,17.20615370217174
DecisionTreeRegressor3,16.950110422047036,12.637529778532471,19.119204811125062,18.93436321793742
RandomForestRegressorNone5,14.61723229493409,14.270344672080139,17.378006312465523,16.192028183338074
RandomForestRegressorNone10,14.38480888089803,17.397358270760797,16.774546165985285,16.248234650527042
ElasticNet,13.146092909590816,13.268384241231837,15.621841947531426,15.207750584212812
Ridge,13.063951497893374,12.725198804484664,15.62501263209974,14.98742364385195
LinearRegression,12.75971194711735,13.734834784318469,15.408745861496124,15.214421017189256
Lasso,12.49550456425153,12.576317427363346,14.755541292926116,15.07718988088667
RandomForestRegressorNone3,12.436190973877414,16.521241780919304,15.00550928079584,18.240123898395172
