,Raw Model RMSE,C1 RMSE,C2 RMSE,RandomWrapper RMSE
DecisionTreeRegressor3,inf,47.186799727879986,29.70376070971824,30.139096962510155
RandomForestRegressorNone3,inf,41.83634437430682,32.46111437491449,29.291407931339165
RandomForestRegressorNone10,9.202700204545928e+29,36.17223828095233,27.755464051789637,29.034197647963214
ElasticNet,50.96480975683063,53.79787261876894,48.57032107993141,48.69506597252738
Lasso,46.38001431310239,53.974587708017246,44.90961559405867,44.876246362976154
Ridge,46.31328467255107,54.08535673310388,44.767139022945926,44.90353849853147
LinearRegression,46.276930177093696,54.020255428517046,44.93386398744867,44.68598172776122
RandomForestRegressorNone5,30.88356716543633,41.79885590961111,27.660723850074525,29.313477430786044
DecisionTreeRegressor10,29.945013994791196,37.409110412618254,31.02872428445513,27.870144101814383
DecisionTreeRegressor5,27.338000148143493,43.97167156502679,25.7368262999496,26.652818054799592
